case,time,x,y
0.136,0.0,9.99999974737875e-06,0.126000002026558
0.136,0.0,0.0006507022189907,0.126020550727844
0.136,0.0,0.0012887716293335,0.126082092523575
0.136,0.0,0.0019215863430872,0.126184403896332
0.136,0.0,0.0025465458165854,0.12632705271244
0.136,0.0,0.0031610822770744,0.126509442925453
0.136,0.0,0.0037626700941473,0.12673082947731
0.136,0.0,0.0043488373048603,0.12699031829834
0.136,0.0,0.0049171755090355,0.127286806702614
0.136,0.0,0.0054653491824865,0.127619117498398
0.136,0.0,0.0059911054559052,0.127985864877701
0.136,0.0,0.0064922841265797,0.128385543823242
0.136,0.0,0.0069668255746364,0.128816500306129
0.136,0.0,0.0074127800762653,0.129276990890503
0.136,0.0,0.0078283147886395,0.12976510822773
0.136,0.0,0.0082117225974798,0.130278840661049
0.136,0.0,0.0085614277049899,0.130816072225571
0.136,0.0,0.0088759930804371,0.1313746124506
0.136,0.0,0.009154126048088,0.131952166557312
0.136,0.0,0.0093946838751435,0.132546350359917
0.136,0.0,0.0095966784283518,0.133154720067978
0.136,0.0,0.0097592789679765,0.133774787187576
0.136,0.0,0.0098818177357316,0.134404003620148
0.136,0.0,0.0099637908861041,0.135039776563644
0.136,0.0,0.0100048622116446,0.135679483413696
0.136,0.0,0.0100048622116446,0.136320516467094
0.136,0.0,0.0099637908861041,0.136960223317146
0.136,0.0,0.0098818177357316,0.137595996260643
0.136,0.0,0.0097592789679765,0.138225212693214
0.136,0.0,0.0095966784283518,0.138845279812813
0.136,0.0,0.0093946838751435,0.139453649520874
0.136,0.0,0.009154126048088,0.140047833323479
0.136,0.0,0.0088759930804371,0.140625387430191
0.136,0.0,0.0085614277049899,0.14118392765522
0.136,0.0,0.0082117225974798,0.141721159219742
0.136,0.0,0.0078283147886395,0.142234891653061
0.136,0.0,0.0074127800762653,0.142723008990288
0.136,0.0,0.0069668255746364,0.143183499574661
0.136,0.0,0.0064922841265797,0.143614456057549
0.136,0.0,0.0059911054559052,0.14401413500309
